id,link,title,title_en,description_en,source
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,nutmeg,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,milk,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,black pepper,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,lardons,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,Parmesan,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,chicken thighs,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,onions,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,English mustard,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,chicken stock,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,wholegrain mustard,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,bay leaves,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,carrots,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,pearl barley,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,peas,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,broad beans,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,parsley,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,tarragon,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,chives,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,lemon,bbc
11,https://www.bbc.co.uk/food/recipes/slow-cooker_spring_09191,Slow-cooker spring chicken and herb soup,Slow-cooker spring chicken and herb soup,black pepper,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,olive oil,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,onion,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,carrots,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,ginger,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,garlic,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,sweet potatoes,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,vegetable stock,bbc
12,https://www.bbc.co.uk/food/recipes/sweet_potato_soup_62834,Sweet potato soup,Sweet potato soup,pepper,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,olive oil,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,garlic,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,ginger,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,chilli,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,red lentils,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,vegetable stock,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,butternut squash,bbc
13,https://www.bbc.co.uk/food/recipes/red_lentil_squash_and_72513,Red lentil and butternut squash soup,Red lentil and butternut squash soup,black pepper,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,olive oil,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,cauliflower,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,cauliflower,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,cumin,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,black pepper,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,onion,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,garlic,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,vegetable stock,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,broccoli,bbc
14,https://www.bbc.co.uk/food/recipes/broccoli_and_cauliflower_35959,Broccoli and cauliflower soup,Broccoli and cauliflower soup,broccoli,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,olive oil,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,red onions,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,celery,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,carrots,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,garlic,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,ginger,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,sea salt,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,fresh coriander,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,turmeric,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,caraway seeds,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,cardamom,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,red lentils,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,spinach,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,black pepper,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,yoghurt,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,yoghurt,bbc
15,https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,Carrot and lentil soup,Carrot and lentil soup,lime,bbc
16,https://www.bbc.co.uk/food/recipes/easy_chicken_noodle_soup_73271,Easy chicken noodle soup,Easy chicken noodle soup,chicken stock,bbc
16,https://www.bbc.co.uk/food/recipes/easy_chicken_noodle_soup_73271,Easy chicken noodle soup,Easy chicken noodle soup,garlic,bbc
16,https://www.bbc.co.uk/food/recipes/easy_chicken_noodle_soup_73271,Easy chicken noodle soup,Easy chicken noodle soup,ginger,bbc
16,https://www.bbc.co.uk/food/recipes/easy_chicken_noodle_soup_73271,Easy chicken noodle soup,Easy chicken noodle soup,chicken breast,bbc
16,https://www.bbc.co.uk/food/recipes/easy_chicken_noodle_soup_73271,Easy chicken noodle soup,Easy chicken noodle soup,noodles,bbc
16,https://www.bbc.co.uk/food/recipes/easy_chicken_noodle_soup_73271,Easy chicken noodle soup,Easy chicken noodle soup,broccoli,bbc
16,https://www.bbc.co.uk/food/recipes/easy_chicken_noodle_soup_73271,Easy chicken noodle soup,Easy chicken noodle soup,soy sauce,bbc
